lon,lat,HeatFlow,method,error,distancia,error_dist,ix_Grilla
-78.757,-11.425,42.0,1.0,15.0,,,[]
-78.757,-11.41,40.0,1.0,15.0,,,[]
-78.765,-11.413,41.0,1.0,15.0,,,[]
-78.765,-11.415,42.0,1.0,15.0,,,[]
-78.798,-11.425,35.0,1.0,15.0,,,[]
-79.212,-11.152,49.0,1.0,15.0,,,[]
-79.2,-11.142,49.0,1.0,15.0,,,[]
-78.272,-11.063,27.5,2.0,17.5,,,[]
-78.078,-11.065,45.0,2.0,17.5,,,[]
-76.892,-13.48,45.0,2.0,17.5,,,[]
-76.991,-12.863,60.0,2.0,17.5,,,[]
-78.943,-11.538,46.0,2.0,17.5,,,[]
-68.75,-33.25,63.0,3.0,14.0,381.2382524789819,0.0,"[14541, 14542, 14543, 14621, 14622, 14623, 14701, 14702, 14703]"
-69.0,-54.0,96.0,3.0,14.0,,,[]
-63.45,-20.983,47.0,3.0,20.0,809.9053364196432,0.0100202101965289,[]
-63.183,-20.933,50.0,3.0,20.0,837.6232414215698,0.0059407357959294,[]
-66.067,-20.9,70.0,3.0,10.0,538.2014540320037,0.022031219078728,[]
-63.2,-20.433,55.0,3.0,20.0,838.6232683568569,0.0057920116049814,[]
-63.567,-20.017,33.0,3.0,20.0,812.9072150735145,0.0115356092096592,[]
-63.217,-19.3,54.0,3.0,20.0,884.6511699994878,0.0173052367816453,[]
-63.017,-17.933,53.0,3.0,20.0,1061.189199427528,0.0049739289332839,[]
-63.533,-17.533,50.0,3.0,20.0,1072.4713501354352,0.0048564112814916,[]
-63.267,-17.517,56.0,3.0,20.0,1100.66220612112,0.009679095506395,[]
-64.067,-17.1,59.0,3.0,20.0,1071.2073645121532,0.0148277280484382,[]
-73.75,-15.517,44.0,3.0,20.0,,,[]
-71.35,-14.9,32.0,3.0,15.0,,,[]
-71.567,-16.55,44.0,3.0,10.0,,,[]
-70.65,-17.267,66.0,3.0,5.0,361.0533057706144,0.0032386812179137,"[202, 203, 282, 283]"
-76.75,-10.483,17.0,3.0,20.0,,,[]
-76.6,-12.683,35.0,3.0,10.0,,,[]
-70.767,-17.067,57.0,3.0,15.0,370.2657669576658,0.0032493649835367,"[41, 42, 121, 122]"
-66.817,-18.167,90.0,3.0,30.0,637.4331741000761,0.004429169969977,[]
-68.233,-17.567,73.0,3.0,20.0,574.2876969854757,0.0041547960312833,"[467, 468, 547, 548]"
-67.733,-16.417,68.0,3.0,10.0,,,[]
-71.417,-14.9,75.0,3.0,9.0,,,[]
-70.3,-16.933,50.0,3.0,9.0,,,[]
-66.45,-24.27,120.0,4.0,15.0,506.8901174427812,0.0069061148191161,[]
-66.55,-24.37,100.0,4.0,15.0,496.361860637265,0.0069013729345911,[]
-68.467,-27.7,81.7,4.0,15.0,342.73759851157394,0.0360868797073956,"[10144, 10145, 10224, 10225]"
-68.333,-28.033,78.0,4.0,15.0,364.7493173828771,0.0092470117075431,"[10386, 10387, 10466, 10467]"
-68.37,-27.333,100.0,4.0,15.0,343.6921641018927,0.0091851148383661,"[9825, 9826, 9905, 9906]"
-68.083,-26.92,105.0,4.0,15.0,363.4586717961065,0.0175168752094402,"[9508, 9509, 9588, 9589]"
-68.767,-27.917,77.0,4.0,15.0,312.6411711024462,0.022157822249211,"[10301, 10302, 10381, 10382]"
-66.583,-21.033,75.0,3.0,9.0,484.2994111059493,0.0064719992234417,[]
-66.05,-21.25,70.0,3.0,9.0,538.8760743896148,0.0,[]
-66.683,-21.3,94.0,3.0,9.0,472.9610640979274,0.0239515427809405,[]
-67.183,-19.383,83.0,3.0,9.0,468.6374018439244,0.0070579991682327,"[1917, 1918, 1997, 1998]"
-66.133,-21.167,94.0,3.0,9.0,530.6348505658813,0.0051097393072741,[]
-69.5,-15.5,55.0,1.0,7.0,,,[]
-64.283,-22.767,27.0,3.0,7.0,714.3596161627258,0.0058790128232423,[]
-66.833,-18.467,109.0,3.0,7.0,592.4555493290424,0.0044455550896615,[]
-66.583,-18.417,66.0,3.0,7.0,618.8221467895187,0.011365883778551,[]
-67.133,-17.383,75.0,3.0,7.0,723.4897983080582,0.0077264579016116,"[318, 319, 398, 399]"
-69.017,-15.783,99.0,3.0,7.0,,,[]
-66.833,-18.283,112.0,3.0,7.0,614.260183644267,0.0077250410123829,[]
-69.05,-15.767,106.0,3.0,7.0,,,[]
-67.533,-17.067,62.0,3.0,7.0,714.0354563766905,0.0042056624923793,"[74, 75, 154, 155]"
-70.5,-35.27,102.0,4.0,18.0,295.1080189557642,0.0094999733344666,"[16204, 16205, 16284, 16285]"
-70.417,-33.417,78.0,4.0,18.0,225.7225608540668,0.0322192372063163,"[14685, 14686, 14765, 14766]"
-70.05,-33.833,101.0,4.0,18.0,267.7984985711178,0.0124390837396324,"[15009, 15010, 15089, 15090]"
-70.667,-33.45,93.0,4.0,18.0,202.5296110659305,0.0,"[14682, 14683, 14762, 14763, 14842, 14843]"
-70.633,-33.167,97.0,4.0,18.0,206.3925816855228,0.0054977174164289,"[14523, 14524, 14603, 14604]"
-70.167,-33.467,61.0,3.0,9.0,248.91518408062976,0.0069200083441972,"[14767, 14768, 14847, 14848]"
