lat,lon,depth,ix_Grilla
-17.05,-73.05,-27.1069,19
-17.05,-72.95,-29.4286,20
-17.15,-72.85,-28.4928,101
-17.25,-72.75,-27.6516,182
-17.25,-72.65,-30.1167,183
-17.35,-72.65,-26.898,263
-17.35,-72.55,-29.3515,264
-17.45,-72.55,-26.2202,344
-17.45,-72.45,-28.6561,345
-17.55,-72.45,-25.6044,425
-17.55,-72.35,-28.0158,426
-17.65,-72.25,-27.4207,507
-17.75,-72.15,-26.8702,588
-17.75,-72.05,-29.392,589
-17.85,-72.05,-26.3752,669
-17.85,-71.95,-28.8694,670
-17.95,-71.95,-25.958,750
-17.95,-71.85,-28.4389,751
-18.05,-71.85,-25.6494,831
-18.05,-71.75,-28.1384,832
-18.15,-71.75,-25.4851,912
-18.15,-71.65,-28.0085,913
-18.25,-71.65,-25.5008,993
-18.25,-71.55,-28.0864,994
-18.35,-71.55,-25.727,1074
-18.35,-71.45,-28.3997,1075
-18.45,-71.45,-26.1829,1155
-18.45,-71.35,-28.9607,1156
-18.55,-71.35,-26.8727,1236
-18.65,-71.35,-25.0058,1316
-18.65,-71.25,-27.7846,1317
-18.75,-71.25,-26.0023,1397
-18.75,-71.15,-28.8953,1398
-18.85,-71.15,-27.1766,1478
-18.85,-71.05,-30.1781,1479
-18.95,-71.05,-28.5066,1559
-19.05,-71.05,-26.9743,1639
-19.05,-70.95,-29.9793,1640
-19.15,-70.95,-28.4754,1720
-19.15,-70.85,-31.5947,1721
-19.25,-70.85,-30.1212,1801
-19.25,-70.75,-33.3636,1802
-19.35,-70.75,-31.9265,1882
-19.45,-70.75,-30.6004,1962
-19.45,-70.65,-33.9093,1963
-19.55,-70.65,-32.6231,2043
-19.65,-70.65,-31.4363,2123
-19.65,-70.55,-34.8456,2124
-19.75,-70.65,-30.3409,2203
-19.75,-70.55,-33.7013,2204
-19.85,-70.55,-32.6447,2284
-19.95,-70.55,-31.6681,2364
-19.95,-70.45,-35.1697,2365
-20.05,-70.55,-30.7646,2444
-20.05,-70.45,-34.2333,2445
-20.15,-70.45,-33.3663,2525
-20.25,-70.45,-32.5633,2605
-20.25,-70.35,-36.1942,2606
-20.35,-70.45,-31.8211,2685
-20.35,-70.35,-35.4258,2686
-20.45,-70.45,-31.138,2765
-20.45,-70.35,-34.7156,2766
-20.55,-70.35,-34.0633,2846
-20.65,-70.35,-33.4702,2926
-20.75,-70.35,-32.9384,3006
-20.75,-70.25,-36.6395,3007
-20.85,-70.35,-32.4692,3086
-20.85,-70.25,-36.1401,3087
-20.95,-70.35,-32.0627,3166
-20.95,-70.25,-35.7028,3167
-21.05,-70.35,-31.7167,3246
-21.05,-70.25,-35.3261,3247
-21.15,-70.35,-31.427,3326
-21.15,-70.25,-35.0063,3327
-21.25,-70.25,-34.7376,3407
-21.35,-70.35,-30.9903,3486
-21.35,-70.25,-34.5136,3487
-21.45,-70.35,-30.8296,3566
-21.45,-70.25,-34.3279,3567
-21.55,-70.35,-30.6996,3646
-21.55,-70.25,-34.1754,3647
-21.65,-70.35,-30.5971,3726
-21.65,-70.25,-34.0527,3727
-21.75,-70.35,-30.5209,3806
-21.75,-70.25,-33.9582,3807
-21.85,-70.35,-30.4719,3886
-21.85,-70.25,-33.8921,3887
-21.95,-70.35,-30.452,3966
-21.95,-70.25,-33.8556,3967
-22.05,-70.35,-30.4638,4046
-22.05,-70.25,-33.8501,4047
-22.15,-70.35,-30.5093,4126
-22.25,-70.35,-30.5896,4206
-22.35,-70.45,-27.6111,4285
-22.35,-70.35,-30.7047,4286
-22.45,-70.45,-27.7777,4365
-22.45,-70.35,-30.8536,4366
-22.55,-70.45,-27.9752,4445
-22.55,-70.35,-31.0343,4446
-22.65,-70.45,-28.1998,4525
-22.65,-70.35,-31.2443,4526
-22.75,-70.45,-28.4476,4605
-22.75,-70.35,-31.4811,4606
-22.85,-70.45,-28.7149,4685
-22.85,-70.35,-31.7419,4686
-22.95,-70.45,-28.9989,4765
-22.95,-70.35,-32.0245,4766
-23.05,-70.45,-29.2973,4845
-23.15,-70.55,-26.7464,4924
-23.15,-70.45,-29.6093,4925
-23.25,-70.55,-27.0533,5004
-23.25,-70.45,-29.9348,5005
-23.35,-70.55,-27.3723,5084
-23.35,-70.45,-30.2746,5085
-23.45,-70.55,-27.706,6764
-23.45,-70.45,-30.6305,6765
-23.55,-70.55,-28.0574,6844
-23.55,-70.45,-31.0044,6845
-23.65,-70.55,-28.4292,6924
-23.75,-70.65,-25.9793,7003
-23.75,-70.55,-28.8234,7004
-23.85,-70.65,-26.3719,7083
-23.85,-70.55,-29.241,7084
-23.95,-70.65,-26.7881,7163
-23.95,-70.55,-29.6814,7164
-24.05,-70.65,-27.2253,7243
-24.05,-70.55,-30.1425,7244
-24.15,-70.65,-27.6791,7323
-24.15,-70.55,-30.6208,7324
-24.25,-70.65,-28.1443,7403
-24.25,-70.55,-31.1117,7404
-24.35,-70.65,-28.6145,7483
-24.45,-70.65,-29.0836,7563
-24.55,-70.65,-29.5455,7643
-24.65,-70.65,-29.9948,7723
-24.75,-70.65,-30.426,7803
-24.75,-70.55,-33.5714,7804
-24.85,-70.65,-30.8334,7883
-24.85,-70.55,-34.0285,7884
-24.95,-70.65,-31.2108,7963
-24.95,-70.55,-34.4611,7964
-25.05,-70.65,-31.5514,8043
-25.05,-70.55,-34.8628,8044
-25.15,-70.65,-31.8487,8123
-25.15,-70.55,-35.227,8124
-25.25,-70.65,-32.0978,8203
-25.25,-70.55,-35.5485,8204
-25.35,-70.65,-32.2965,8283
-25.35,-70.55,-35.8247,8284
-25.45,-70.65,-32.448,8363
-25.45,-70.55,-36.0578,8364
-25.55,-70.65,-32.5609,8443
-25.65,-70.65,-32.6501,8523
-25.75,-70.75,-29.0842,8602
-25.75,-70.65,-32.7352,8603
-25.85,-70.75,-29.1132,8682
-25.85,-70.65,-32.8382,8683
-25.95,-70.75,-29.183,8762
-25.95,-70.65,-32.9805,8763
-26.05,-70.75,-29.3116,8842
-26.05,-70.65,-33.1799,8843
-26.15,-70.75,-29.511,8922
-26.15,-70.65,-33.4482,8923
-26.25,-70.75,-29.7863,9002
-26.35,-70.85,-26.4063,9081
-26.35,-70.75,-30.1361,9082
-26.45,-70.85,-26.7699,9161
-26.45,-70.75,-30.5539,9162
-26.55,-70.85,-27.1941,9241
-26.55,-70.75,-31.0305,9242
-26.65,-70.85,-27.6699,9321
-26.65,-70.75,-31.5566,9322
-26.75,-70.85,-28.1898,9401
-26.85,-70.95,-25.1562,9480
-26.85,-70.85,-28.7484,9481
-26.95,-70.95,-25.7028,9560
-26.95,-70.85,-29.3426,9561
-27.05,-70.95,-26.2836,9640
-27.05,-70.85,-29.9718,9641
-27.15,-70.95,-26.899,9720
-27.15,-70.85,-30.6368,9721
-27.25,-70.95,-27.5508,9800
-27.35,-71.05,-24.779,9879
-27.35,-70.95,-28.2421,9880
-27.45,-71.05,-25.4518,9959
-27.45,-70.95,-28.9773,9960
-27.55,-71.05,-26.1715,10039
-27.55,-70.95,-29.7622,10040
-27.65,-71.05,-26.9447,10119
-27.65,-70.95,-30.6031,10120
-27.75,-71.05,-27.7786,10199
-27.85,-71.15,-25.237,10278
-27.85,-71.05,-28.6798,10279
-27.95,-71.15,-26.1281,10358
-27.95,-71.05,-29.6539,10359
-28.05,-71.15,-27.0925,10438
-28.05,-71.05,-30.7046,10439
-28.15,-71.15,-28.1319,10518
-28.25,-71.25,-25.7921,10597
-28.25,-71.15,-29.2455,10598
-28.35,-71.25,-26.8728,10677
-28.35,-71.15,-30.4293,10678
-28.45,-71.25,-28.0143,10757
-28.55,-71.35,-25.767,10836
-28.55,-71.25,-29.2071,10837
-28.65,-71.35,-26.8811,10916
-28.65,-71.25,-30.438,10917
-28.75,-71.35,-28.017,10996
-28.75,-71.25,-31.691,10997
-28.85,-71.35,-29.1577,11076
-28.95,-71.45,-26.6989,11155
-28.95,-71.35,-30.2852,11156
-29.05,-71.45,-27.6798,11235
-29.05,-71.35,-31.3821,11236
-29.15,-71.45,-28.621,11315
-29.15,-71.35,-32.4325,11316
-29.25,-71.55,-25.9307,11394
-29.25,-71.45,-29.5119,11395
-29.35,-71.55,-26.6695,11474
-29.35,-71.45,-30.3464,11475
